Breed,Country of Origin,Fur Color,Height,Color of Eyes,Longevity,Character Traits,Common Health Problems
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,Gentle,heart conditions
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,Gentle,cancer
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,loyal,Hip dysplasia
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,loyal,heart conditions
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,loyal,cancer
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,intelligent,Hip dysplasia
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,intelligent,heart conditions
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,intelligent,cancer
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,good-natured,Hip dysplasia
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,good-natured,heart conditions
Irish Wolfhound,Ireland,Black,30-35,Brown,6-8,good-natured,cancer
Greyhound,England,Black,26-30,Brown,10-12,Intelligent,Hip dysplasia
Greyhound,England,Black,26-30,Brown,10-12,Intelligent,eye problems
Greyhound,England,Black,26-30,Brown,10-12,Intelligent,heart conditions
Greyhound,England,Black,26-30,Brown,10-12,athletic,Hip dysplasia
Greyhound,England,Black,26-30,Brown,10-12,athletic,eye problems
Greyhound,England,Black,26-30,Brown,10-12,athletic,heart conditions
Greyhound,England,Black,26-30,Brown,10-12,sensitive,Hip dysplasia
Greyhound,England,Black,26-30,Brown,10-12,sensitive,eye problems
Greyhound,England,Black,26-30,Brown,10-12,sensitive,heart conditions
Greyhound,England,Black,26-30,Brown,10-12,good-natured,Hip dysplasia
Greyhound,England,Black,26-30,Brown,10-12,good-natured,eye problems
Greyhound,England,Black,26-30,Brown,10-12,good-natured,heart conditions
Greyhound,England,White,26-30,Brown,10-12,Intelligent,Hip dysplasia
Greyhound,England,White,26-30,Brown,10-12,Intelligent,eye problems
Greyhound,England,White,26-30,Brown,10-12,Intelligent,heart conditions
Greyhound,England,White,26-30,Brown,10-12,athletic,Hip dysplasia
Greyhound,England,White,26-30,Brown,10-12,athletic,eye problems
Greyhound,England,White,26-30,Brown,10-12,athletic,heart conditions
Greyhound,England,White,26-30,Brown,10-12,sensitive,Hip dysplasia
Greyhound,England,White,26-30,Brown,10-12,sensitive,eye problems
Greyhound,England,White,26-30,Brown,10-12,sensitive,heart conditions
Greyhound,England,White,26-30,Brown,10-12,good-natured,Hip dysplasia
Greyhound,England,White,26-30,Brown,10-12,good-natured,eye problems
Greyhound,England,White,26-30,Brown,10-12,good-natured,heart conditions
Greyhound,England,Brindle,26-30,Brown,10-12,Intelligent,Hip dysplasia
Greyhound,England,Brindle,26-30,Brown,10-12,Intelligent,eye problems
Greyhound,England,Brindle,26-30,Brown,10-12,Intelligent,heart conditions
Greyhound,England,Brindle,26-30,Brown,10-12,athletic,Hip dysplasia
Greyhound,England,Brindle,26-30,Brown,10-12,athletic,eye problems
Greyhound,England,Brindle,26-30,Brown,10-12,athletic,heart conditions
Greyhound,England,Brindle,26-30,Brown,10-12,sensitive,Hip dysplasia
Greyhound,England,Brindle,26-30,Brown,10-12,sensitive,eye problems
Greyhound,England,Brindle,26-30,Brown,10-12,sensitive,heart conditions
Greyhound,England,Brindle,26-30,Brown,10-12,good-natured,Hip dysplasia
Greyhound,England,Brindle,26-30,Brown,10-12,good-natured,eye problems
Greyhound,England,Brindle,26-30,Brown,10-12,good-natured,heart conditions
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,Gentle,Hip dysplasia
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,Gentle,heart conditions
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,Gentle,cancer
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,intelligent,Hip dysplasia
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,intelligent,heart conditions
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,intelligent,cancer
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,good-natured,Hip dysplasia
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,good-natured,heart conditions
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,good-natured,cancer
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,independent,Hip dysplasia
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,independent,heart conditions
Scottish Deerhound,Scotland,Blue,28-32,Brown,8-10,independent,cancer
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,Gentle,Hip dysplasia
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,Gentle,heart conditions
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,Gentle,cancer
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,intelligent,Hip dysplasia
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,intelligent,heart conditions
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,intelligent,cancer
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,good-natured,Hip dysplasia
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,good-natured,heart conditions
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,good-natured,cancer
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,independent,Hip dysplasia
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,independent,heart conditions
Scottish Deerhound,Scotland,Grey,28-32,Brown,8-10,independent,cancer
Great Pyrenees,France,White,25-32,Brown,10-12,Loyal,Hip dysplasia
Great Pyrenees,France,White,25-32,Brown,10-12,Loyal,cancer
Great Pyrenees,France,White,25-32,Brown,10-12,Loyal,skin allergies
Great Pyrenees,France,White,25-32,Brown,10-12,intelligent,Hip dysplasia
Great Pyrenees,France,White,25-32,Brown,10-12,intelligent,cancer
Great Pyrenees,France,White,25-32,Brown,10-12,intelligent,skin allergies
Great Pyrenees,France,White,25-32,Brown,10-12,gentle,Hip dysplasia
Great Pyrenees,France,White,25-32,Brown,10-12,gentle,cancer
Great Pyrenees,France,White,25-32,Brown,10-12,gentle,skin allergies
Great Pyrenees,France,White,25-32,Brown,10-12,protective,Hip dysplasia
Great Pyrenees,France,White,25-32,Brown,10-12,protective,cancer
Great Pyrenees,France,White,25-32,Brown,10-12,protective,skin allergies
Shar Pei,China,Cream,18-20,Brown,8-12,Independent,Skin allergies
Shar Pei,China,Cream,18-20,Brown,8-12,Independent,eye problems
Shar Pei,China,Cream,18-20,Brown,8-12,Independent,hip dysplasia
Shar Pei,China,Cream,18-20,Brown,8-12,loyal,Skin allergies
Shar Pei,China,Cream,18-20,Brown,8-12,loyal,eye problems
Shar Pei,China,Cream,18-20,Brown,8-12,loyal,hip dysplasia
Shar Pei,China,Cream,18-20,Brown,8-12,intelligent,Skin allergies
Shar Pei,China,Cream,18-20,Brown,8-12,intelligent,eye problems
Shar Pei,China,Cream,18-20,Brown,8-12,intelligent,hip dysplasia
Shar Pei,China,Cream,18-20,Brown,8-12,good-natured,Skin allergies
Shar Pei,China,Cream,18-20,Brown,8-12,good-natured,eye problems
Shar Pei,China,Cream,18-20,Brown,8-12,good-natured,hip dysplasia
Shar Pei,China,Fawn,18-20,Brown,8-12,Independent,Skin allergies
Shar Pei,China,Fawn,18-20,Brown,8-12,Independent,eye problems
Shar Pei,China,Fawn,18-20,Brown,8-12,Independent,hip dysplasia
Shar Pei,China,Fawn,18-20,Brown,8-12,loyal,Skin allergies
Shar Pei,China,Fawn,18-20,Brown,8-12,loyal,eye problems
Shar Pei,China,Fawn,18-20,Brown,8-12,loyal,hip dysplasia
Shar Pei,China,Fawn,18-20,Brown,8-12,intelligent,Skin allergies
Shar Pei,China,Fawn,18-20,Brown,8-12,intelligent,eye problems
Shar Pei,China,Fawn,18-20,Brown,8-12,intelligent,hip dysplasia
Shar Pei,China,Fawn,18-20,Brown,8-12,good-natured,Skin allergies
Shar Pei,China,Fawn,18-20,Brown,8-12,good-natured,eye problems
Shar Pei,China,Fawn,18-20,Brown,8-12,good-natured,hip dysplasia
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,Loyal,Hip dysplasia
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,Loyal,heart conditions
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,Loyal,cancer
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,energetic,Hip dysplasia
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,energetic,heart conditions
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,energetic,cancer
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,intelligent,Hip dysplasia
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,intelligent,heart conditions
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,intelligent,cancer
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,protective,Hip dysplasia
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,protective,heart conditions
Doberman Pinscher,Germany,Black,24-28,Brown,10-12,protective,cancer
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,Loyal,Hip dysplasia
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,Loyal,heart conditions
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,Loyal,cancer
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,energetic,Hip dysplasia
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,energetic,heart conditions
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,energetic,cancer
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,intelligent,Hip dysplasia
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,intelligent,heart conditions
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,intelligent,cancer
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,protective,Hip dysplasia
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,protective,heart conditions
Doberman Pinscher,Germany,Red,24-28,Brown,10-12,protective,cancer
Weimaraner,Germany,Silver,25-29,Blue,10-12,Energetic,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Blue,10-12,Energetic,eye problems
Weimaraner,Germany,Silver,25-29,Blue,10-12,Energetic,cancer
Weimaraner,Germany,Silver,25-29,Blue,10-12,intelligent,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Blue,10-12,intelligent,eye problems
Weimaraner,Germany,Silver,25-29,Blue,10-12,intelligent,cancer
Weimaraner,Germany,Silver,25-29,Blue,10-12,good-natured,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Blue,10-12,good-natured,eye problems
Weimaraner,Germany,Silver,25-29,Blue,10-12,good-natured,cancer
Weimaraner,Germany,Silver,25-29,Blue,10-12,loyal,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Blue,10-12,loyal,eye problems
Weimaraner,Germany,Silver,25-29,Blue,10-12,loyal,cancer
Weimaraner,Germany,Silver,25-29,Grey,10-12,Energetic,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Grey,10-12,Energetic,eye problems
Weimaraner,Germany,Silver,25-29,Grey,10-12,Energetic,cancer
Weimaraner,Germany,Silver,25-29,Grey,10-12,intelligent,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Grey,10-12,intelligent,eye problems
Weimaraner,Germany,Silver,25-29,Grey,10-12,intelligent,cancer
Weimaraner,Germany,Silver,25-29,Grey,10-12,good-natured,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Grey,10-12,good-natured,eye problems
Weimaraner,Germany,Silver,25-29,Grey,10-12,good-natured,cancer
Weimaraner,Germany,Silver,25-29,Grey,10-12,loyal,Hip dysplasia
Weimaraner,Germany,Silver,25-29,Grey,10-12,loyal,eye problems
Weimaraner,Germany,Silver,25-29,Grey,10-12,loyal,cancer
Weimaraner,Germany,Grey,25-29,Blue,10-12,Energetic,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Blue,10-12,Energetic,eye problems
Weimaraner,Germany,Grey,25-29,Blue,10-12,Energetic,cancer
Weimaraner,Germany,Grey,25-29,Blue,10-12,intelligent,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Blue,10-12,intelligent,eye problems
Weimaraner,Germany,Grey,25-29,Blue,10-12,intelligent,cancer
Weimaraner,Germany,Grey,25-29,Blue,10-12,good-natured,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Blue,10-12,good-natured,eye problems
Weimaraner,Germany,Grey,25-29,Blue,10-12,good-natured,cancer
Weimaraner,Germany,Grey,25-29,Blue,10-12,loyal,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Blue,10-12,loyal,eye problems
Weimaraner,Germany,Grey,25-29,Blue,10-12,loyal,cancer
Weimaraner,Germany,Grey,25-29,Grey,10-12,Energetic,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Grey,10-12,Energetic,eye problems
Weimaraner,Germany,Grey,25-29,Grey,10-12,Energetic,cancer
Weimaraner,Germany,Grey,25-29,Grey,10-12,intelligent,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Grey,10-12,intelligent,eye problems
Weimaraner,Germany,Grey,25-29,Grey,10-12,intelligent,cancer
Weimaraner,Germany,Grey,25-29,Grey,10-12,good-natured,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Grey,10-12,good-natured,eye problems
Weimaraner,Germany,Grey,25-29,Grey,10-12,good-natured,cancer
Weimaraner,Germany,Grey,25-29,Grey,10-12,loyal,Hip dysplasia
Weimaraner,Germany,Grey,25-29,Grey,10-12,loyal,eye problems
Weimaraner,Germany,Grey,25-29,Grey,10-12,loyal,cancer
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,Intelligent,Hip dysplasia
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,Intelligent,eye problems
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,Intelligent,skin allergies
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,energetic,Hip dysplasia
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,energetic,eye problems
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,energetic,skin allergies
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,loyal,Hip dysplasia
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,loyal,eye problems
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,loyal,skin allergies
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,protective,Hip dysplasia
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,protective,eye problems
Belgian Malinois,Belgium,Fawn,22-26,Brown,12-14,protective,skin allergies
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,Intelligent,Hip dysplasia
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,Intelligent,eye problems
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,Intelligent,skin allergies
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,energetic,Hip dysplasia
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,energetic,eye problems
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,energetic,skin allergies
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,loyal,Hip dysplasia
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,loyal,eye problems
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,loyal,skin allergies
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,protective,Hip dysplasia
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,protective,eye problems
Belgian Malinois,Belgium,Mahogany,22-26,Brown,12-14,protective,skin allergies
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,Intelligent,Hip dysplasia
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,Intelligent,eye problems
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,Intelligent,cancer
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,athletic,Hip dysplasia
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,athletic,eye problems
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,athletic,cancer
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,loyal,Hip dysplasia
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,loyal,eye problems
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,loyal,cancer
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,good-natured,Hip dysplasia
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,good-natured,eye problems
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,good-natured,cancer
English Setter,England,Black,23-27,Brown,12-15,Intelligent,Hip dysplasia
English Setter,England,Black,23-27,Brown,12-15,Intelligent,eye problems
English Setter,England,Black,23-27,Brown,12-15,Intelligent,cancer
English Setter,England,Black,23-27,Brown,12-15,energetic,Hip dysplasia
English Setter,England,Black,23-27,Brown,12-15,energetic,eye problems
English Setter,England,Black,23-27,Brown,12-15,energetic,cancer
English Setter,England,Black,23-27,Brown,12-15,affectionate,Hip dysplasia
English Setter,England,Black,23-27,Brown,12-15,affectionate,eye problems
English Setter,England,Black,23-27,Brown,12-15,affectionate,cancer
English Setter,England,Black,23-27,Brown,12-15,good-natured,Hip dysplasia
English Setter,England,Black,23-27,Brown,12-15,good-natured,eye problems
English Setter,England,Black,23-27,Brown,12-15,good-natured,cancer
English Setter,England,White,23-27,Brown,12-15,Intelligent,Hip dysplasia
English Setter,England,White,23-27,Brown,12-15,Intelligent,eye problems
English Setter,England,White,23-27,Brown,12-15,Intelligent,cancer
English Setter,England,White,23-27,Brown,12-15,energetic,Hip dysplasia
English Setter,England,White,23-27,Brown,12-15,energetic,eye problems
English Setter,England,White,23-27,Brown,12-15,energetic,cancer
English Setter,England,White,23-27,Brown,12-15,affectionate,Hip dysplasia
English Setter,England,White,23-27,Brown,12-15,affectionate,eye problems
English Setter,England,White,23-27,Brown,12-15,affectionate,cancer
English Setter,England,White,23-27,Brown,12-15,good-natured,Hip dysplasia
English Setter,England,White,23-27,Brown,12-15,good-natured,eye problems
English Setter,England,White,23-27,Brown,12-15,good-natured,cancer
English Setter,England,Liver,23-27,Brown,12-15,Intelligent,Hip dysplasia
English Setter,England,Liver,23-27,Brown,12-15,Intelligent,eye problems
English Setter,England,Liver,23-27,Brown,12-15,Intelligent,cancer
English Setter,England,Liver,23-27,Brown,12-15,energetic,Hip dysplasia
English Setter,England,Liver,23-27,Brown,12-15,energetic,eye problems
English Setter,England,Liver,23-27,Brown,12-15,energetic,cancer
English Setter,England,Liver,23-27,Brown,12-15,affectionate,Hip dysplasia
English Setter,England,Liver,23-27,Brown,12-15,affectionate,eye problems
English Setter,England,Liver,23-27,Brown,12-15,affectionate,cancer
English Setter,England,Liver,23-27,Brown,12-15,good-natured,Hip dysplasia
English Setter,England,Liver,23-27,Brown,12-15,good-natured,eye problems
English Setter,England,Liver,23-27,Brown,12-15,good-natured,cancer
Pointer,England,Black,21-27,Brown,12-15,Intelligent,Hip dysplasia
Pointer,England,Black,21-27,Brown,12-15,Intelligent,eye problems
Pointer,England,Black,21-27,Brown,12-15,Intelligent,cancer
Pointer,England,Black,21-27,Brown,12-15,energetic,Hip dysplasia
Pointer,England,Black,21-27,Brown,12-15,energetic,eye problems
Pointer,England,Black,21-27,Brown,12-15,energetic,cancer
Pointer,England,Black,21-27,Brown,12-15,good-natured,Hip dysplasia
Pointer,England,Black,21-27,Brown,12-15,good-natured,eye problems
Pointer,England,Black,21-27,Brown,12-15,good-natured,cancer
Pointer,England,Black,21-27,Brown,12-15,affectionate,Hip dysplasia
Pointer,England,Black,21-27,Brown,12-15,affectionate,eye problems
Pointer,England,Black,21-27,Brown,12-15,affectionate,cancer
Pointer,England,White,21-27,Brown,12-15,Intelligent,Hip dysplasia
Pointer,England,White,21-27,Brown,12-15,Intelligent,eye problems
Pointer,England,White,21-27,Brown,12-15,Intelligent,cancer
Pointer,England,White,21-27,Brown,12-15,energetic,Hip dysplasia
Pointer,England,White,21-27,Brown,12-15,energetic,eye problems
Pointer,England,White,21-27,Brown,12-15,energetic,cancer
Pointer,England,White,21-27,Brown,12-15,good-natured,Hip dysplasia
Pointer,England,White,21-27,Brown,12-15,good-natured,eye problems
Pointer,England,White,21-27,Brown,12-15,good-natured,cancer
Pointer,England,White,21-27,Brown,12-15,affectionate,Hip dysplasia
Pointer,England,White,21-27,Brown,12-15,affectionate,eye problems
Pointer,England,White,21-27,Brown,12-15,affectionate,cancer
Pointer,England,Liver,21-27,Brown,12-15,Intelligent,Hip dysplasia
Pointer,England,Liver,21-27,Brown,12-15,Intelligent,eye problems
Pointer,England,Liver,21-27,Brown,12-15,Intelligent,cancer
Pointer,England,Liver,21-27,Brown,12-15,energetic,Hip dysplasia
Pointer,England,Liver,21-27,Brown,12-15,energetic,eye problems
Pointer,England,Liver,21-27,Brown,12-15,energetic,cancer
Pointer,England,Liver,21-27,Brown,12-15,good-natured,Hip dysplasia
Pointer,England,Liver,21-27,Brown,12-15,good-natured,eye problems
Pointer,England,Liver,21-27,Brown,12-15,good-natured,cancer
Pointer,England,Liver,21-27,Brown,12-15,affectionate,Hip dysplasia
Pointer,England,Liver,21-27,Brown,12-15,affectionate,eye problems
Pointer,England,Liver,21-27,Brown,12-15,affectionate,cancer
Gordon Setter,Scotland,Black,23-27,Brown,12-15,Intelligent,Hip dysplasia
Gordon Setter,Scotland,Black,23-27,Brown,12-15,Intelligent,eye problems
Gordon Setter,Scotland,Black,23-27,Brown,12-15,Intelligent,cancer
Gordon Setter,Scotland,Black,23-27,Brown,12-15,energetic,Hip dysplasia
Gordon Setter,Scotland,Black,23-27,Brown,12-15,energetic,eye problems
Gordon Setter,Scotland,Black,23-27,Brown,12-15,energetic,cancer
Gordon Setter,Scotland,Black,23-27,Brown,12-15,good-natured,Hip dysplasia
Gordon Setter,Scotland,Black,23-27,Brown,12-15,good-natured,eye problems
Gordon Setter,Scotland,Black,23-27,Brown,12-15,good-natured,cancer
Gordon Setter,Scotland,Black,23-27,Brown,12-15,affectionate,Hip dysplasia
Gordon Setter,Scotland,Black,23-27,Brown,12-15,affectionate,eye problems
Gordon Setter,Scotland,Black,23-27,Brown,12-15,affectionate,cancer
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,Intelligent,Hip dysplasia
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,Intelligent,eye problems
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,Intelligent,cancer
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,energetic,Hip dysplasia
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,energetic,eye problems
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,energetic,cancer
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,good-natured,Hip dysplasia
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,good-natured,eye problems
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,good-natured,cancer
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,affectionate,Hip dysplasia
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,affectionate,eye problems
Gordon Setter,Scotland,Tan,23-27,Brown,12-15,affectionate,cancer
Irish Setter,Ireland,Red,24-28,Brown,12-15,Intelligent,Hip dysplasia
Irish Setter,Ireland,Red,24-28,Brown,12-15,Intelligent,eye problems
Irish Setter,Ireland,Red,24-28,Brown,12-15,Intelligent,cancer
Irish Setter,Ireland,Red,24-28,Brown,12-15,energetic,Hip dysplasia
Irish Setter,Ireland,Red,24-28,Brown,12-15,energetic,eye problems
Irish Setter,Ireland,Red,24-28,Brown,12-15,energetic,cancer
Irish Setter,Ireland,Red,24-28,Brown,12-15,good-natured,Hip dysplasia
Irish Setter,Ireland,Red,24-28,Brown,12-15,good-natured,eye problems
Irish Setter,Ireland,Red,24-28,Brown,12-15,good-natured,cancer
Irish Setter,Ireland,Red,24-28,Brown,12-15,affectionate,Hip dysplasia
Irish Setter,Ireland,Red,24-28,Brown,12-15,affectionate,eye problems
Irish Setter,Ireland,Red,24-28,Brown,12-15,affectionate,cancer
Papillon,France,White,8-11,Brown,14-16,Intelligent,Dental problems
Papillon,France,White,8-11,Brown,14-16,Intelligent,eye problems
Papillon,France,White,8-11,Brown,14-16,Intelligent,bladder stones
Papillon,France,White,8-11,Brown,14-16,energetic,Dental problems
Papillon,France,White,8-11,Brown,14-16,energetic,eye problems
Papillon,France,White,8-11,Brown,14-16,energetic,bladder stones
Papillon,France,White,8-11,Brown,14-16,affectionate,Dental problems
Papillon,France,White,8-11,Brown,14-16,affectionate,eye problems
Papillon,France,White,8-11,Brown,14-16,affectionate,bladder stones
Papillon,France,White,8-11,Brown,14-16,good-natured,Dental problems
Papillon,France,White,8-11,Brown,14-16,good-natured,eye problems
Papillon,France,White,8-11,Brown,14-16,good-natured,bladder stones
Papillon,France,Black,8-11,Brown,14-16,Intelligent,Dental problems
Papillon,France,Black,8-11,Brown,14-16,Intelligent,eye problems
Papillon,France,Black,8-11,Brown,14-16,Intelligent,bladder stones
Papillon,France,Black,8-11,Brown,14-16,energetic,Dental problems
Papillon,France,Black,8-11,Brown,14-16,energetic,eye problems
Papillon,France,Black,8-11,Brown,14-16,energetic,bladder stones
Papillon,France,Black,8-11,Brown,14-16,affectionate,Dental problems
Papillon,France,Black,8-11,Brown,14-16,affectionate,eye problems
Papillon,France,Black,8-11,Brown,14-16,affectionate,bladder stones
Papillon,France,Black,8-11,Brown,14-16,good-natured,Dental problems
Papillon,France,Black,8-11,Brown,14-16,good-natured,eye problems
Papillon,France,Black,8-11,Brown,14-16,good-natured,bladder stones
Papillon,France,Sable,8-11,Brown,14-16,Intelligent,Dental problems
Papillon,France,Sable,8-11,Brown,14-16,Intelligent,eye problems
Papillon,France,Sable,8-11,Brown,14-16,Intelligent,bladder stones
Papillon,France,Sable,8-11,Brown,14-16,energetic,Dental problems
Papillon,France,Sable,8-11,Brown,14-16,energetic,eye problems
Papillon,France,Sable,8-11,Brown,14-16,energetic,bladder stones
Papillon,France,Sable,8-11,Brown,14-16,affectionate,Dental problems
Papillon,France,Sable,8-11,Brown,14-16,affectionate,eye problems
Papillon,France,Sable,8-11,Brown,14-16,affectionate,bladder stones
Papillon,France,Sable,8-11,Brown,14-16,good-natured,Dental problems
Papillon,France,Sable,8-11,Brown,14-16,good-natured,eye problems
Papillon,France,Sable,8-11,Brown,14-16,good-natured,bladder stones
Papillon,France,Red,8-11,Brown,14-16,Intelligent,Dental problems
Papillon,France,Red,8-11,Brown,14-16,Intelligent,eye problems
Papillon,France,Red,8-11,Brown,14-16,Intelligent,bladder stones
Papillon,France,Red,8-11,Brown,14-16,energetic,Dental problems
Papillon,France,Red,8-11,Brown,14-16,energetic,eye problems
Papillon,France,Red,8-11,Brown,14-16,energetic,bladder stones
Papillon,France,Red,8-11,Brown,14-16,affectionate,Dental problems
Papillon,France,Red,8-11,Brown,14-16,affectionate,eye problems
Papillon,France,Red,8-11,Brown,14-16,affectionate,bladder stones
Papillon,France,Red,8-11,Brown,14-16,good-natured,Dental problems
Papillon,France,Red,8-11,Brown,14-16,good-natured,eye problems
Papillon,France,Red,8-11,Brown,14-16,good-natured,bladder stones
Pekingese,China,Black,6-9,Brown,12-15,Independent,Dental problems
Pekingese,China,Black,6-9,Brown,12-15,Independent,respiratory issues
Pekingese,China,Black,6-9,Brown,12-15,Independent,eye problems
Pekingese,China,Black,6-9,Brown,12-15,intelligent,Dental problems
Pekingese,China,Black,6-9,Brown,12-15,intelligent,respiratory issues
